ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
SBCZ,medium_airport,Cruzeiro do Sul Airport,637,SA,BR,BR-AC,Cruzeiro Do Sul,SBCZ,CZS,AC0002,"-7.59991, -72.769501"
KCZT,small_airport,Dimmit County Airport,599,NA,US,US-TX,Carrizo Springs,KCZT,CZT,CZT,"28.522199630699998, -99.823600769"
SKCZ,medium_airport,Las Brujas Airport,528,SA,CO,CO-SUC,Corozal,SKCZ,CZU,CZU,"9.33274, -75.2856"
EPCH,small_airport,Częstochowa-Rudniki,860,EU,PL,PL-SL,Częstochowa,EPRU,CZW,,"50.884998, 19.2047"
ZSCG,medium_airport,Changzhou Benniu International Airport,,AS,CN,CN-32,Changzhou,ZSCG,CZX,,"31.919701, 119.778999"
YUNY,small_airport,Cluny Airport,90,OC,AU,AU-QLD,,YUNY,CZY,,"-24.516700744628906, 139.61700439453125"
KDAA,medium_airport,Davison Army Air Field,73,NA,US,US-VA,Fort Belvoir,KDAA,DAA,DAA,"38.715000152600005, -77.1809997559"
KDAB,medium_airport,Daytona Beach International Airport,34,NA,US,US-FL,Daytona Beach,KDAB,DAB,DAB,"29.179899, -81.058098"
VGZR,large_airport,Hazrat Shahjalal International Airport,30,AS,BD,BD-3,Dhaka,VGHS,DAC,,"23.843347, 90.397783"
VVDN,medium_airport,Da Nang International Airport,33,AS,VN,VN-SCC,Da Nang,VVDN,DAD,,"16.0439, 108.198997"
DAF,small_airport,Daup Airport,280,OC,PG,PG-MPM,,,DAF,DAUP,"-4.7403, 145.9515"
KDAG,medium_airport,Barstow Daggett Airport,1930,NA,US,US-CA,Daggett,KDAG,DAG,DAG,"34.85369873, -116.7870026"
DAH,small_airport,Dathina Airport,-2,AS,YE,YE-AB,Dathina,,DAH,DAH,"13.866884, 46.133473"
HEDK,small_airport,Ad Dakhla Airport,551,AF,EG,EG-WAD,Dakhla Oases,HEDK,DAK,,"25.420898, 29.001031"
KDAL,medium_airport,Dallas Love Field,487,NA,US,US-TX,Dallas,KDAL,DAL,DAL,"32.847099, -96.851799"
OSDI,large_airport,Damascus International Airport,2020,AS,SY,SY-DI,Damascus,OSDI,DAM,,"33.4114990234375, 36.51559829711914"
KDAN,medium_airport,Danville Regional Airport,571,NA,US,US-VA,Danville,KDAN,DAN,DAN,"36.572899, -79.336098"
DAO,small_airport,Dabo Airport,118,OC,PG,PG-NPP,,,DAO,DABO,"-8.431944444440001, 147.843055556"
VNDL,small_airport,Darchula Airport,2132,AS,NP,NP-P7,Darchula,VNDL,DAP,,"29.669200897216797, 80.54840087890625"
HTDA,large_airport,Julius Nyerere International Airport,182,AF,TZ,TZ-02,Dar es Salaam,HTDA,DAR,,"-6.87811, 39.202599"
CFF4,small_airport,Great Bear Lake Airport,562,NA,CA,CA-NT,Great Bear Lake,CFF4,DAS,CFF4,"66.7031021118, -119.707000732"
ZBDT,small_airport,Datong Yungang Airport,3442,AS,CN,CN-14,Datong,ZBDT,DAT,,"40.061614, 113.480032"
AYDU,medium_airport,Daru Airport,20,OC,PG,PG-WPD,Daru,AYDU,DAU,,"-9.08676, 143.207993"
MPDA,medium_airport,Enrique Malek International Airport,89,NA,PA,PA-4,David,MPDA,DAV,,"8.391, -82.434998"
ZUDX,small_airport,Dachuan Airport,,AS,CN,CN-51,Dazhou (Daxian),ZUDX,DAX,,"31.1302, 107.4295"
KDAY,medium_airport,James M Cox Dayton International Airport,1009,NA,US,US-OH,Dayton,KDAY,DAY,DAY,"39.902401, -84.219398"
OADZ,small_airport,Darwaz Airport,5250,AS,AF,AF-BDS,Darwaz,OADZ,DAZ,,"38.461708, 70.881608"
OPDB,small_airport,Dalbandin Airport,2800,AS,PK,PK-BA,Dalbandin,OPDB,DBA,,"28.878299713100002, 64.3998031616"
HEAL,medium_airport,El Alamein International Airport,154,AF,EG,EG-MT,El Alamein,HEAL,DBB,,"30.930326, 28.463076"
DBC,medium_airport,Baicheng Chang'an Airport,480,AS,CN,CN-22,Baicheng,ZYBA,DBC,,"45.505278, 123.019722"
VEDB,medium_airport,Dhanbad Airport,847,AS,IN,IN-BR,,VEDB,DBD,,"23.833999633789062, 86.42530059814453"
DBK,seaplane_base,Dutch Bay SPB,0,AS,LK,LK-6,Kalpitiya Island,,DBK,,"8.273, 79.756"
HADM,small_airport,Debra Marcos Airport,8136,AF,ET,ET-AM,Debra Marcos,HADM,DBM,,"10.350000381469727, 37.71699905395508"
KDBN,small_airport,W H 'Bud' Barron Airport,309,NA,US,US-GA,Dublin,KDBN,DBN,DBN,"32.5644, -82.985298"
YSDU,medium_airport,Dubbo City Regional Airport,935,OC,AU,AU-NSW,Dubbo,YSDU,DBO,,"-32.2167015076, 148.574996948"
DBP,small_airport,Debepare Airport,360,OC,PG,PG-WPD,Debepare,AYDB,DBP,DBP,"-6.30861111111, 141.905555556"
KDBQ,medium_airport,Dubuque Regional Airport,1077,NA,US,US-IA,Dubuque,KDBQ,DBQ,DBQ,"42.402, -90.709503"
VE89,medium_airport,Darbhanga Airport,156,AS,IN,IN-BR,Darbhanga,VEDH,DBR,VEDH,"26.192801, 85.916901"
U41,small_airport,Dubois Municipal Airport,5123,NA,US,US-ID,Dubois,KU41,DBS,U41,"44.162057, -112.220581"
HADT,small_airport,Debre Tabor Airport,8490,AF,ET,ET-AM,Debre Tabor,HADT,DBT,,"11.967000007629395, 38"
DBU,seaplane_base,Dambulu Oya Tank Seaplane Base,535,AS,LK,LK-2,Dambulla,,DBU,,"7.8604, 80.6304"
LDDU,medium_airport,Dubrovnik Airport,527,EU,HR,HR-19,Dubrovnik,LDDU,DBV,,"42.5614013671875, 18.268199920654297"
YDAY,small_airport,Dalby Airport,1137,OC,AU,AU-QLD,,YDAY,DBY,,"-27.15530014038086, 151.26699829101562"
KDCA,large_airport,Ronald Reagan Washington National Airport,15,NA,US,US-DC,Washington,KDCA,DCA,DCA,"38.8521, -77.037697"
TDCF,medium_airport,Canefield Airport,13,NA,DM,DM-10,Canefield,TDCF,DCF,,"15.336693, -61.392108"
DCG,seaplane_base,Dubai Creek SPB,,AS,AE,AE-DU,Dubai,,DCG,,"25.2422222222, 55.3313888889"
LIED,medium_airport,Decimomannu Air Base,100,EU,IT,IT-88,Decimomannu,LIED,DCI,CA12,"39.354198, 8.97248"
DCK,small_airport,Dahl Creek Airport,260,NA,US,US-AK,Dahl Creek,DCK,DCK,DCK,"66.9432983398, -156.904998779"
LFCK,medium_airport,Castres-Mazamet Airport,788,EU,FR,FR-OCC,Castres/Mazamet,LFCK,DCM,,"43.55630111694336, 2.289180040359497"
YCIN,medium_airport,RAAF Base Curtin,300,OC,AU,AU-WA,Derby,YCIN,DCN,,"-17.580458, 123.828449"
MYRD,medium_airport,Duncan Town Airport,6,NA,BS,BS-RI,,MYRD,DCT,,"22.181800842285156, -75.72949981689453"
KDCU,small_airport,Pryor Field Regional Airport,592,NA,US,US-AL,Decatur,KDCU,DCU,DCU,"34.652698516799994, -86.94539642330001"
ZUDC,medium_airport,Daocheng Yading Airport,14472,AS,CN,CN-51,Garzê (Daocheng),ZUDC,DCY,,"29.31632, 100.060317"
KDDC,medium_airport,Dodge City Regional Airport,2594,NA,US,US-KS,Dodge City,KDDC,DDC,DDC,"37.76340103149414, -99.9655990600586"
VRMU,small_airport,Dhaalu Atoll Airport,6,AS,MV,MV-17,Kudahuvadhoo,VRMU,DDD,,"2.666075, 72.887118"
CN-0189,medium_airport,Dandong Langtou Airport,30,AS,CN,CN-21,"Zhenxing, Dandong",ZYDD,DDG,,"40.0247, 124.286003"
DDM,small_airport,Dodoima Airport,75,OC,PG,PG-NPP,,,DDM,DDM,"-8.17736111111, 147.809444444"
YDLT,small_airport,Delta Downs Airport,15,OC,AU,AU-QLD,,YDLT,DDN,,"-16.99169921875, 141.31700134277344"
CN-0236,medium_airport,Xigaze Dingri Airport,14108,AS,CN,CN-54,Xigazê (Dingri),,DDR,,"28.604567, 86.798"
OP17,small_airport,Dadu West Airport,128,AS,PK,PK-SD,Dadu,OP17,DDU,OP17,"26.740800857543945, 67.6666030883789"
OPDG,medium_airport,Dera Ghazi Khan Airport,492,AS,PK,PK-PB,Dera Ghazi Khan,OPDG,DEA,,"29.961000442504883, 70.48590087890625"
LHDC,medium_airport,Debrecen International Airport,359,EU,HU,HU-HB,Debrecen,LHDC,DEB,,"47.488899, 21.615299"
KDEC,medium_airport,Decatur Airport,682,NA,US,US-IL,Decatur,KDEC,DEC,DEC,"39.834598541259766, -88.8656997680664"
VIDN,medium_airport,Dehradun Jolly Grant Airport,1831,AS,IN,IN-UT,Dehradun (Jauligrant),VIDN,DED,,"30.189243, 78.176651"
UHSM,small_airport,Yuzhno-Kurilsk Mendeleyevo Airport,584,EU,RU,RU-SAK,Yuzhno-Kurilsk,UHSM,DEE,,"43.961066, 145.684977"
OIAD,medium_airport,Dezful Airport,474,AS,IR,IR-06,Dezful,OIAD,DEF,,"32.434399, 48.397598"
KDEH,small_airport,Decorah Municipal Airport,1158,NA,US,US-IA,Decorah,KDEH,DEH,DEH,"43.275501, -91.739403"
FSSD,small_airport,Denis Island Airport,10,AF,SC,SC-15,Denis Island,FSSD,DEI,,"-3.80222, 55.666901"
VIDP,large_airport,Indira Gandhi International Airport,777,AS,IN,IN-DL,New Delhi,VIDP,DEL,,"28.55563, 77.09519"
HADD,small_airport,Dembidollo Airport,5200,AF,ET,ET-OR,Dembidollo,HADD,DEM,,"8.554, 34.858002"
KDEN,large_airport,Denver International Airport,5431,NA,US,US-CO,Denver,KDEN,DEN,DEN,"39.861698150635, -104.672996521"
VEDZ,small_airport,Daporijo Airport,750,AS,IN,IN-AR,Daporijo,VEDZ,DEP,,"27.985500335699996, 94.22280120850002"
DEQ,small_airport,Deqing Moganshan Airport,,AS,CN,CN-33,Huzhou,,DEQ,,"30.504264, 120.107388"
DER,small_airport,Derim Airport,4850,OC,PG,PG-MPL,Derim,AYDE,DER,DEM,"-6.14472222222, 147.107222222"
FSDR,small_airport,Desroches Airport,10,AF,SC,SC-15,Desroches Island,FSDR,DES,,"-5.6967, 53.6558"
KDET,medium_airport,Coleman A. Young Municipal Airport,626,NA,US,US-MI,Detroit,KDET,DET,DET,"42.40919876, -83.00990295"
DEX,small_airport,Nop Goliat Dekai Airport,198,AS,ID,ID-PP,Dekai,WAVD,DEX,,"-4.8557, 139.482006"
OSDZ,medium_airport,Deir ez-Zor Airport,700,AS,SY,SY-DY,Deir ez-Zor,OSDZ,DEZ,,"35.2854, 40.175999"
CN-0073,small_airport,Shangluo Airport,,AS,CN,CN-61,Shangluo (Danfeng),,DFA,,"33.708533, 110.249284"
KDFI,small_airport,Defiance Memorial Airport,707,NA,US,US-OH,Defiance,KDFI,DFI,DFI,"41.3375015259, -84.4288024902"
YDDF,small_airport,Drumduff Airport,,OC,AU,AU-QLD,Palmer,YDDF,DFP,,"-16.052124, 143.013339"
KDFW,large_airport,Dallas Fort Worth International Airport,607,NA,US,US-TX,Dallas-Fort Worth,KDFW,DFW,DFW,"32.896801, -97.038002"
BZ-DGA,medium_airport,Dangriga Airport,508,NA,BZ,BZ-SC,Dangriga,MZPB,DGA,,"16.98251, -88.230988"
YDGA,small_airport,Dalgaranga Gold Mine Airport,1459,OC,AU,AU-WA,,YDGA,DGD,,"-27.830277777800003, 117.316388889"
YMDG,medium_airport,Mudgee Airport,1545,OC,AU,AU-NSW,Mudgee,YMDG,DGE,,"-32.564794, 149.609452"
CAL3,small_airport,Douglas Lake Airport,2770,NA,CA,CA-BC,Douglas Lake,CAL3,DGF,CAL3,"50.1654600485, -120.171273351"
IN-0090,small_airport,Deoghar Airport,361,AS,IN,IN-JH,Deoghar,VEDO,DGH,,"24.446842, 86.704955"
KDGL,small_airport,Douglas Municipal Airport,4173,NA,US,US-AZ,Douglas,KDGL,DGL,DGL,"31.3425998688, -109.505996704"
DGM,seaplane_base,Dandugama Seaplane Base,0,AS,LK,LK-1,Colombo,,DGM,,"7.1079, 79.8721"
KNDY,small_airport,Dahlgren Naval Surface Warfare Center Airport,18,NA,US,US-VA,Dahlgren,KNDY,DGN,,"38.3325, -77.037201"
MMDO,large_airport,"Aeropuerto Internacional Gral, Guadalupe Victoria",6104,NA,MX,MX-DUR,Ciudad de Durango,MMDO,DGO,,"24.125908, -104.533904"
EVDA,medium_airport,Daugavpils International Airport,398,EU,LV,LV-111,Daugavpils,EVDA,DGP,,"55.944721, 26.665001"
NZDA,small_airport,Dargaville Aerodrome,10,OC,NZ,NZ-NTL,,NZDA,DGR,,"-35.939701080322266, 173.8939971923828"
RPVD,medium_airport,Sibulan Airport,15,AS,PH,PH-NER,Dumaguete City,RPVD,DGT,,"9.334183, 123.30191"
DFOD,small_airport,Dedougou Airport,984,AF,BF,BF-MOU,Dedougou,DFOD,DGU,,"12.458999633789062, -3.490000009536743"
KDGW,small_airport,Converse County Airport,4933,NA,US,US-WY,Douglas,KDGW,DGW,DGW,"42.79719925, -105.3860016"
OEDR,large_airport,King Abdulaziz Air Base,84,AS,SA,SA-04,Dhahran,OEDR,DHA,,"26.2654, 50.152"
DHB,seaplane_base,Deer Harbor SPB,0,NA,US,US-WA,Deer Harbor,,DHB,,"48.616667, -123.002778"
YDRH,small_airport,Durham Downs Airport,116,OC,AU,AU-QLD,,YDRH,DHD,,"-27.075000762939453, 141.89999389648438"
OMAM,medium_airport,Al Dhafra Air Base,77,AS,AE,AE-AZ,,OMAM,DHF,,"24.248199462900004, 54.547698974599996"
DHG,small_airport,Dalnegorsk Airport,833,EU,RU,RU-PRI,Dalnegorsk,,DHG,,"44.558748, 135.490005"
VNDH,small_airport,Dhangarhi Airport,690,AS,NP,NP-P7,Dhangarhi,VNDH,DHI,,"28.755283, 80.583398"
DHL,small_airport,Ad-Dali Airport,,AS,YE,YE-DA,Ad-Dali,,DHL,DHL,"13.73846, 44.72719"
VIGG,medium_airport,Kangra Airport,2525,AS,IN,IN-HP,Kangra,VIGG,DHM,,"32.164902, 76.263018"
KDHN,medium_airport,Dothan Regional Airport,401,NA,US,US-AL,Dothan,KDHN,DHN,DHN,"31.321300506591797, -85.44960021972656"
EHKD,medium_airport,De Kooy Airfield / Den Helder Naval Air Station,3,EU,NL,NL-NH,Den Helder,EHKD,DHR,,"52.923401, 4.78062"
KDHT,medium_airport,Dalhart Municipal Airport,3991,NA,US,US-TX,Dalhart,KDHT,DHT,DHT,"36.0225982666, -102.54699707"
OTBD,medium_airport,Doha International Airport,35,AS,QA,QA-DA,Doha,OTBD,DIA,,"25.261101, 51.565102"
VEMN,medium_airport,Dibrugarh Airport,362,AS,IN,IN-AS,Dibrugarh,VEMN,DIB,,"27.4839000702, 95.0168991089"
FMNA,medium_airport,Arrachart Airport,374,AF,MG,MG-D,Antisiranana,FMNA,DIE,,"-12.3494, 49.291698"
ZPDQ,medium_airport,Diqing Shangri-La Airport,10761,AS,CN,CN-53,Diqing (Shangri-La),ZPDQ,DIG,,"27.7936, 99.6772"
LFSD,medium_airport,Dijon-Bourgogne Airport,726,EU,FR,FR-BFC,Dijon/Longvic,LFSD,DIJ,,"47.268902, 5.09"
KDIK,medium_airport,Dickinson Theodore Roosevelt Regional Airport,2592,NA,US,US-ND,Dickinson,KDIK,DIK,DIK,"46.7974014282, -102.802001953"
WPDL,medium_airport,Presidente Nicolau Lobato International Airport,154,AS,TL,TL-DI,Dili,WPDL,DIL,,"-8.546562, 125.524507"
DIDK,small_airport,Dimbokro Airport,344,AF,CI,CI-LC,Dimbokro,DIDK,DIM,,"6.651669979095459, -4.640560150146484"
VVDB,medium_airport,Dien Bien Phu Airport,1611,AS,VN,VN-NW,Dien Bien Phu,VVDB,DIN,,"21.3974990845, 103.008003235"
DFED,small_airport,Diapaga Airport,951,AF,BF,BF-TAP,Diapaga,DFED,DIP,,"12.060324, 1.784631"
SNDV,small_airport,Brigadeiro Cabral Airport,2608,SA,BR,BR-MG,Divinópolis,SNDV,DIQ,SNDV,"-20.180700302124, -44.870899200439"
HADR,medium_airport,Aba Tenna Dejazmach Yilma International Airport,3827,AF,ET,ET-DD,Dire Dawa,HADR,DIR,,"9.624699592590332, 41.85419845581055"
FCPL,medium_airport,Ngot Nzoungou Airport,1079,AF,CG,CG-9,Dolisie,FCPD,DIS,,"-4.20635, 12.6599"
VA1P,small_airport,Diu Airport,31,AS,IN,IN-DH,Diu,VADU,DIU,VADU,"20.714185, 70.921855"
DIW,seaplane_base,Mawella Lagoon Seaplane Base,16,AS,LK,LK-3,Dickwella,,DIW,,"5.990192, 80.733129"
LTCC,medium_airport,Diyarbakır Airport,2251,AS,TR,TR-21,Diyarbakır,LTCC,DIY,,"37.893902, 40.201"
DBBD,small_airport,Djougou Airport,1480,AF,BJ,BJ-DO,Djougou,DBBD,DJA,,"9.69208333333, 1.63777777778"
WIPA,small_airport,Sultan Thaha Airport,82,AS,ID,ID-JA,Jambi,WIJJ,DJB,,"-1.63802, 103.643997"
DTTJ,medium_airport,Djerba Zarzis International Airport,19,AF,TN,TN-82,Mellita,DTTJ,DJE,,"33.875, 10.7755"
DAAJ,medium_airport,Djanet Inedbirene Airport,3176,AF,DZ,DZ-56,Djanet,DAAJ,DJG,,"24.292801, 9.45244"
AE-0006,seaplane_base,Jebel Ali Seaplane Base,0,AS,AE,AE-DU,Jebel Ali,,DJH,,"24.988967, 55.023796"
WAJJ,large_airport,Dortheys Hiyo Eluay International Airport,289,AS,ID,ID-PA,Sentani,WAJJ,DJJ,,"-2.579627, 140.519857"
FCBD,small_airport,Djambala Airport,2595,AF,CG,CG-14,Djambala,FCBD,DJM,,"-2.516883, 14.754403"
D66,small_airport,Delta Junction Airport,1150,NA,US,US-AK,Delta Junction,D66,DJN,D66,"64.0503997803, -145.716995239"
DIDL,medium_airport,Daloa Airport,823,AF,CI,CI-SM,,DIDL,DJO,,"6.792809963226318, -6.473189830780029"
YDAJ,small_airport,Dajarra Airport,335,OC,AU,AU-QLD,,YDAJ,DJR,,"-21.70829963684082, 139.5330047607422"
BIDV,small_airport,Djúpivogur Airport,9,EU,IS,IS-7,Djúpivogur,BIDV,DJU,,"64.642372, -14.277297"
DN57,small_airport,Katsina Airport,1660,AF,NG,NG-KT,Katsina,DKNT,DKA,,"13.0078, 7.66045"
YDKI,small_airport,Dunk Island Airport,6,OC,AU,AU-QLD,Dunk Island,YDKI,DKI,,"-17.93913, 146.141447"
KDKK,small_airport,Chautauqua County-Dunkirk Airport,693,NA,US,US-NY,Dunkirk,KDKK,DKK,DKK,"42.49247, -79.273102"
GOOY,medium_airport,Léopold Sédar Senghor International Airport,85,AF,SN,SN-DK,Dakar,GOOY,DKR,,"14.7397, -17.4902"
UODD,medium_airport,Dikson Airport,47,AS,RU,RU-KYA,Dikson,UODD,DKS,,"73.517807, 80.379669"
YDVR,small_airport,Docker River Airport,589,OC,AU,AU-NT,Kaltukatjara,YDVR,DKV,,"-24.859533, 129.122209"
FKKD,medium_airport,Douala International Airport,33,AF,CM,CM-LT,Douala,FKKD,DLA,,"4.0060801506, 9.719479560849999"
ZYTL,large_airport,Dalian Zhoushuizi International Airport,107,AS,CN,CN-21,"Ganjingzi, Dalian",ZYTL,DLC,,"38.965698, 121.539001"
LFGJ,medium_airport,Dole-Tavaux Airport,645,EU,FR,FR-BFC,Dole/Tavaux,LFGJ,DLE,,"47.042686, 5.435063"
KDLF,medium_airport,Laughlin Air Force Base,1082,NA,US,US-TX,Del Rio,KDLF,DLF,DLF,"29.359501, -100.778002"
PADL,medium_airport,Dillingham Airport,81,NA,US,US-AK,Dillingham,PADL,DLG,DLG,"59.04470062, -158.5050049"
KDLH,medium_airport,Duluth International Airport,1428,NA,US,US-MN,Duluth,KDLH,DLH,DLH,"46.842098, -92.193604"
VVDL,medium_airport,Lien Khuong Airport,3156,AS,VN,VN-CH,Da Lat,VVDL,DLI,,"11.75, 108.366997"
YDLK,small_airport,Dulkaninna Airport,,OC,AU,AU-SA,Dulkaninna,YDLK,DLK,,"-29.0132999420166, 138.4810028076172"
KDLC,small_airport,Dillon County Airport,133,NA,US,US-SC,Dillon,KDLC,DLL,DLC,"34.4491004944, -79.368598938"
LTBS,large_airport,Dalaman International Airport,20,AS,TR,TR-48,Dalaman,LTBS,DLM,,"36.7131004333, 28.7924995422"
KDLN,small_airport,Dillon Airport,5241,NA,US,US-MT,Dillon,KDLN,DLN,DLN,"45.255401611299995, -112.553001404"
DLR,small_airport,Dalnerechensk Airport,272,EU,RU,RU-PRI,Dalnerechensk,UHHD,DLR,,"45.877949, 133.735822"
KDLS,medium_airport,Columbia Gorge Regional Airport,247,NA,US,US-OR,Dallesport / The Dalles,KDLS,DLS,DLS,"45.620979, -121.170777"
ZPDL,medium_airport,Dali Fengyi Airport,7050,AS,CN,CN-53,Dali (Xiaguan),ZPDL,DLU,,"25.649401, 100.319"
YDLV,small_airport,Delissaville Airport,34,OC,AU,AU-NT,,YDLV,DLV,,"-12.550000190734863, 130.68499755859375"
NVVD,small_airport,Dillon's Bay Airport,630,OC,VU,VU-TAE,Dillon's Bay,NVVD,DLY,,"-18.7693996429, 169.00100708"
